Product,03/10/2026,03/11/2026,03/12/2026,03/13/2026,03/14/2026,03/15/2026,03/16/2026,03/17/2026,03/18/2026,03/19/2026,03/20/2026,03/21/2026,03/22/2026,03/23/2026,2-Week Total
Espresso Beans,7,17,14,8,18,13,9,7,17,14,8,18,13,9,170
Whole Milk,9,11,14,8,8,6,26,9,11,14,8,8,6,26,163
Vienna Cream,14,9,13,8,10,3,23,14,9,13,8,10,3,23,159
Oat Milk,3,5,5,3,5,3,4,3,5,5,3,5,3,4,58
Buttercream,4,3,4,2,2,1,7,4,3,4,2,2,1,7,46
Sanchez (retail),,6,2,,3,,,,6,2,,3,,,23
Agave Cases,1,2,1,,1,1,1,1,2,1,,1,1,1,15
Cup Carriers,1,2,1,1,1,1,1,1,2,1,1,1,1,1,14
Almond Milk,,2,1,,2,1,1,,2,1,,2,1,1,14
M1200 Matcha,,1,,,1,3,1,,1,,,1,3,1,12
Custom Ice Cups,,1,1,,1,1,1,,1,1,,1,1,1,11
2% Milk,2,1,1,1,1,,1,2,1,1,1,1,,1,11
Ice lid,,1,1,,1,1,1,,1,1,,1,1,1,10
Strawberry Puree Cases,1,1,,,1,,,1,1,,,1,,,6
Cold Brew Beans,,2,1,,,,,,2,1,,,,,6
Cup Sleeves,,,1,,,,,,,1,,,,,5
Chai,,,,,1,,,,,,,1,,,4
Half & Half,,1,,,,,1,,1,,,,,1,4
Mocha,,1,1,,1,,,,1,1,,1,,,4
Rose,,,1,1,,,,,,1,1,,,,4
Tonic Water,,1,1,,,,,,1,1,,,,,4
Tea Bag,,,1,1,1,,,,,1,1,1,,,4
Black Straws,,,,,,,,,,,,,,,4
Black Trash Bag,,,,,,,,,,,,,,,3
Dulce,,,,,,,,,,,,,,,3
Decaf Beans,,,,,,,,,,,,,,,3
Ube Condensed Milk,,1,1,,,,,,1,1,,,,,3
Paper Towel,,,,,,,,,,,,,,,3
Wooden Stir Stick,,,,,,,,,,,,,,,3
Supremo (retail),,,,,1,,,,,,,1,,,3
Honey,,,,,,,,,,,,,,,2
10oz Hot Cup,,,,,,,,,,,,,,,2
Beverage Napkin,,,,,,,,,,,,,,,2
Paper Bag,,,,,,,,,,,,,,,2
Mirado (retail),,,,,1,,,,,,,1,,,2
Bleach,,,,,1,,,,,,,1,,,2
Caramel,,,,,,,,,,,,,,,1
Lavender,,,,,,,,,,,,,,,1
Condensed Milk,,,,,,,,,,,,,,,1
Hot Lid,,,,,,,,,,,,,,,1
Nitrile Gloves,,,,,,,,,,,,,,,1
Rinza,,,,,,,,,,,,,,,1
"Pasty Bag, Brown",,,,,,,,,,,,,,,1
Receipt rolls,,,,,,,,,,,,,,,1

DAILY TOTAL,42,68,65,33,61,34,77,42,68,65,33,61,34,77,760
